date,Price,Open,High,Low,Vol.,Change %
25-Feb-2024,"61,954.70","51,572.10","63,915.30","50,925.20",642.90K,20.13%
18-Feb-2024,"51,571.60","51,646.00","52,936.80","50,537.60",327.44K,-0.14%
11-Feb-2024,"51,646.00","47,759.30","52,819.40","47,590.20",455.62K,8.14%
4-Feb-2024,"47,758.20","43,006.20","48,149.00","42,272.50",402.98K,11.05%
28-Jan-2024,"43,005.70","42,121.30","43,817.90","41,649.00",320.49K,2.10%
21-Jan-2024,"42,120.90","41,695.40","42,214.80","38,546.90",427.70K,1.02%
14-Jan-2024,"41,695.40","42,851.30","43,563.70","40,305.40",418.57K,-2.70%
7-Jan-2024,"42,851.30","43,973.50","48,923.70","41,857.90",771.35K,-2.54%
31-Dec-2023,"43,967.90","42,141.60","45,885.40","40,888.30",482.41K,4.35%
24-Dec-2023,"42,136.70","43,710.40","43,935.70","41,459.00",338.09K,-3.60%
17-Dec-2023,"43,710.40","42,271.70","44,394.60","40,554.00",358.37K,3.40%
10-Dec-2023,"42,271.70","43,716.60","44,045.40","40,277.10",399.45K,-3.31%
3-Dec-2023,"43,718.40","39,456.80","44,697.60","39,280.30",488.43K,10.80%
26-Nov-2023,"39,458.40","37,786.40","39,673.40","36,751.50",337.81K,4.42%
19-Nov-2023,"37,787.00","36,568.60","38,400.80","35,695.60",377.06K,3.33%
12-Nov-2023,"36,568.60","37,149.00","37,954.10","34,984.30",371.77K,-1.57%
5-Nov-2023,"37,150.50","35,065.80","37,942.00","34,536.90",395.79K,5.95%
29-Oct-2023,"35,065.80","34,082.60","35,907.60","33,937.60",356.78K,2.88%
22-Oct-2023,"34,082.60","29,912.70","35,191.40","29,713.60",546.20K,13.94%
15-Oct-2023,"29,912.90","26,852.80","30,264.80","26,812.60",453.75K,11.40%
8-Oct-2023,"26,852.80","27,961.10","28,097.50","26,558.40",258.44K,-3.96%
1-Oct-2023,"27,961.10","26,962.50","28,556.60","26,955.70",355.31K,3.70%
24-Sep-2023,"26,962.70","26,579.00","27,283.60","26,013.60",283.67K,1.44%
17-Sep-2023,"26,579.20","26,562.00","27,480.70","26,382.30",282.39K,0.06%
10-Sep-2023,"26,562.00","25,901.10","26,837.40","24,923.10",327.53K,2.55%
3-Sep-2023,"25,901.10","25,869.70","26,417.70","25,411.70",233.37K,0.12%
27-Aug-2023,"25,869.70","26,017.10","28,046.00","25,361.90",371.58K,-0.57%
20-Aug-2023,"26,017.10","26,099.50","26,807.70","25,481.90",293.72K,-0.32%
