date,last_price,open_price,high_price,low_price,volume,exchange
11-Feb-2024,2015.35,2038.70,2043.60,1997,193.61K,-1.15%
4-Feb-2024,2038.70,2057.90,2061.30,2030.8,559.52K,-0.73%
28-Jan-2024,2053.70,2035.80,2083.20,2028.2,715.67K,0.86%
24-Jan-2024,2036.10,2031.90,2046.80,2010.05,87.45K,0.34%
14-Jan-2024,2029.30,2053.50,2062.50,2004.75,172.81K,-1.09%
7-Jan-2024,2051.60,2052.20,2067.30,2017.35,272.35K,0.09%
31-Dec-2023,2049.80,2071.75,2088.00,2030.8,214.68K,-1.06%
24-Dec-2023,2071.80,2065.30,2098.15,2065.05,105.72K,0.13%
17-Dec-2023,2069.10,2033.70,2083.00,2029.45,170.15K,1.64%
10-Dec-2023,2035.70,2020.70,2062.75,1988,172.15K,1.87%
3-Dec-2023,1998.30,2075.30,2130.20,1995,1.84K,-3.51%
26-Nov-2023,2071.00,2002.50,2073.20,2001.4,443.71K,3.39%
19-Nov-2023,2003.00,1983.35,2009.75,1967.45,214.88K,0.92%
12-Nov-2023,1984.70,1942.95,1996.40,1935.75,133.12K,2.43%
5-Nov-2023,1937.70,1999.40,2000.10,1936.9,768.66K,-3.08%
29-Oct-2023,1999.20,2013.50,2017.70,1978.2,752.39K,0.04%
22-Oct-2023,1998.50,1987.70,2019.70,1964.6,867.94K,0.21%
15-Oct-2023,1994.40,1941.30,2009.20,1921.2,882.75K,2.72%
8-Oct-2023,1941.50,1861.00,1946.20,1857.5,678.58K,5.22%
1-Oct-2023,1845.20,1864.40,1864.70,1823.5,786.44K,-2.13%
24-Sep-2023,1885.40,1944.70,1946.80,1881.5,620.41K,-3.09%
17-Sep-2023,1945.60,1945.70,1968.90,1933.1,716.02K,-0.03%
10-Sep-2023,1946.20,1943.30,1954.60,1921.7,655.82K,0.18%
3-Sep-2023,1942.70,1966.70,1972.60,1940,458.73K,0.32%
27-Aug-2023,1936.50,1915.50,1921.50,1915.5,0.13K,1.33%
20-Aug-2023,1911.10,1893.60,1920.80,1892.8,1.81K,-0.28%
13-Aug-2023,1916.50,1945.60,1948.20,1914.2,683.81K,0.19%
6-Aug-2023,1912.90,1941.00,1941.00,1911.4,1.56K,-1.38%
30-Jul-2023,1939.60,1959.20,1971.60,1920,3.14K,-1.06%
23-Jul-2023,1960.40,1963.60,1982.60,1941.7,788.42K,-0.32%
16-Jul-2023,1966.60,1958.60,1989.80,1949,779.25K,0.11%
9-Jul-2023,1964.40,1930.70,1968.50,1918,909.54K,1.65%
2-Jul-2023,1932.50,1927.80,1942.90,1908.5,630.40K,0.16%
25-Jun-2023,1929.40,1936.30,1943.40,1900.6,695.95K,-0.01%
18-Jun-2023,1929.60,1970.70,1971.80,1919.5,603.94K,-2.11%
11-Jun-2023,1971.20,1975.60,1985.90,1936.1,787.00K,-0.30%
4-Jun-2023,1977.20,1962.30,1987.80,1953.8,697.35K,0.39%
28-May-2023,1969.60,1961.30,2000.70,1949.6,858.73K,0.33%
21-May-2023,1963.10,1998.40,2006.20,1954.7,433.81K,-1.86%
14-May-2023,2000.30,2033.00,2046.50,1973,167.19K,-0.97%
7-May-2023,2019.80,2024.60,2056.00,2005.7,939.70K,-0.25%
30-Apr-2023,2024.80,2000.20,2085.40,1985.7,959.33K,1.97%
23-Apr-2023,1985.70,1981.30,1999.10,1977.4,0.87K,0.31%
16-Apr-2023,1979.50,2002.70,2007.60,1969.8,0.85K,-1.13%
9-Apr-2023,2002.20,2000.00,2048.60,1984,1.94K,-0.48%
2-Apr-2023,2011.90,1968.10,2033.80,1950,2.56K,2.18%
26-Mar-2023,1969.00,1982.60,1986.80,1945,488.89K,-0.75%
19-Mar-2023,1983.80,1989.70,2014.90,1936.5,1.09M,0.52%
12-Mar-2023,1973.50,1877.10,1993.70,1875.7,1.35M,5.69%
5-Mar-2023,1867.20,1861.00,1874.30,1813.4,821.22K,0.68%
26-Feb-2023,1854.60,1818.00,1864.40,1810.8,796.23K,2.06%
19-Feb-2023,1817.10,1850.50,1856.40,1815.5,531.64K,-1.27%
12-Feb-2023,1840.40,1859.00,1862.00,1818.4,1.82K,-1.20%
5-Feb-2023,1862.80,1865.60,1884.60,1852.4,1.17K,-0.01%
29-Jan-2023,1862.90,1928.30,1959.10,1861.5,32.17K,-3.45%
22-Jan-2023,1929.40,1928.40,1949.80,1912.5,805.36K,0.06%
15-Jan-2023,1928.20,1923.80,1939.00,1898.6,701.58K,0.34%
8-Jan-2023,1921.70,1872.80,1925.30,1869.3,862.49K,2.78%
1-Jan-2023,1869.70,1831.80,1875.20,1829.9,599.23K,2.38%
25-Dec-2022,1826.20,1808.20,1841.90,1804.2,383.68K,1.22%
18-Dec-2022,1804.20,1801.60,1833.80,1792.7,569.54K,0.22%
11-Dec-2022,1800.20,1808.00,1836.90,1782,667.81K,-0.58%
4-Dec-2022,1810.70,1810.50,1822.90,1778.1,579.52K,0.06%
27-Nov-2022,1809.60,1771.10,1818.70,1752.9,674.26K,2.31%
20-Nov-2022,1768.80,1766.60,1776.00,1733.5,262.76K,0.82%
13-Nov-2022,1754.40,1769.40,1791.80,1749.2,844.22K,-0.85%
6-Nov-2022,1769.40,1678.60,1775.60,1667.1,1.03M,5.54%
30-Oct-2022,1676.60,1647.20,1686.40,1618.3,802.01K,1.93%
23-Oct-2022,1644.80,1662.90,1679.40,1640.7,730.03K,-0.69%
16-Oct-2022,1656.30,1649.90,1674.30,1621.1,655.04K,0.45%
9-Oct-2022,1648.90,1703.40,1707.40,1645.6,697.74K,-3.53%
2-Oct-2022,1709.30,1670.50,1738.70,1666.5,733.24K,2.23%
25-Sep-2022,1672.00,1643.00,1684.40,1618,385.32K,1.33%
18-Sep-2022,1650.00,1680.20,1688.00,1642.7,2.10K,-1.66%
11-Sep-2022,1677.90,1731.00,1737.30,1659.1,1.03K,-2.65%
4-Sep-2022,1723.60,1719.70,1726.40,1713.5,0.25K,0.34%
28-Aug-2022,1717.70,1740.10,1748.60,1707,4.70K,-1.32%
21-Aug-2022,1740.60,1750.50,1769.30,1730.4,29.63K,-0.71%
14-Aug-2022,1753.00,1808.20,1808.20,1749.5,25.51K,-2.89%
7-Aug-2022,1805.20,1780.30,1814.40,1776.2,29.18K,1.39%
31-Jul-2022,1780.50,1772.20,1801.00,1759.7,41.19K,0.51%
24-Jul-2022,1771.50,1730.10,1774.20,1713.8,32.23K,2.32%
17-Jul-2022,1731.40,1710.30,1740.30,1682.8,2.05K,1.40%
10-Jul-2022,1707.50,1741.80,1748.20,1700.6,1.85K,-2.24%
3-Jul-2022,1746.70,1817.00,1817.00,1736.8,3.80K,-3.28%
26-Jun-2022,1805.90,1839.60,1842.80,1788.9,255.55K,-1.33%
19-Jun-2022,1830.30,1840.60,1850.30,1817.7,632.65K,-0.56%
12-Jun-2022,1840.60,1879.00,1882.50,1806.1,943.72K,-1.86%
5-Jun-2022,1875.50,1853.70,1879.60,1826.5,735.03K,1.37%
29-May-2022,1850.20,1856.50,1878.60,1830.2,602.65K,-0.38%
22-May-2022,1857.30,1847.40,1871.30,1840.4,127.52K,0.68%
15-May-2022,1844.70,1815.00,1850.40,1790,1.21K,1.84%
8-May-2022,1811.30,1883.60,1883.60,1801.2,0.36K,-3.97%
1-May-2022,1886.20,1894.50,1910.20,1859.7,0.33K,-1.51%
24-Apr-2022,1915.10,1931.90,1935.50,1881.6,575.90K,-0.99%
17-Apr-2022,1934.30,1978.50,2003.00,1928,790.68K,-2.06%
10-Apr-2022,1974.90,1949.60,1985.80,1942.9,628.22K,1.51%
3-Apr-2022,1945.60,1927.10,1952.20,1916.2,674.97K,1.14%
27-Mar-2022,1923.70,1959.10,1962.00,1891,430.00K,-1.70%
20-Mar-2022,1956.90,1922.70,1969.50,1913.6,4.38K,1.30%
13-Mar-2022,1931.70,1985.60,1990.00,1898.6,1.78K,-2.81%
6-Mar-2022,1987.60,1984.30,2078.70,1965.4,5.47K,0.95%
27-Feb-2022,1968.90,1913.00,1974.00,1896.1,2.51K,4.22%
20-Feb-2022,1889.20,1903.50,1976.50,1878.6,912.48K,-0.56%
